lex,lex_arb,root,def,src,id,lex_uncorrected,pg,dialect,phon,Cv,sem,ref,pos,etym,lex_arb2,def_arb,measure,imalah
"aḫu 11, pl. construct ḫūt 11,17 / ḫot 30",اخو,ʔḫw,"""a brother"". aḫu mēl-eh 7 ""his brother""; aḫūy 12,17 [843] ""my brother""; aḫwīk 17 ""your brother""; min ḫūtna 29 ""[one] of our brothers"".",Brockett 1985,13,,50,,,,,[400]; R 25.,n,,,,,check def ē
"ʔadab**, yādib**",ادب/ يادب,,"""to punish"". wēgid mēdbinneh 12 ""he punished [his son] a lot"" act.pt.",Brockett 1985,14,,50,,,,,W II.,vt,,,,I,
mēdib***,مادب,ʔdb,"""to punish"". wēgid mēdbinneh 12 ""he punished [his son] a lot"" act.pt.",Brockett 1985,1756,,50,,,,,W II.,vt,,,,I,ā > ē
"ʔarraṯ, yʔarriṯ**",ارث/ يارث,ʔrṯ,"""to wreak havoc"". ubaʕdayn huwa arraṯ fī Maṣīra, arraṯ yaʕni bil-māy udemmeret Maṣira 1 ""and then [the storm] wreaked havoc on Masira, with rain that is, and wrecked it"".",Brockett 1985,15,,50,,,,,"L 46 ""... to excite disorder ...""",vi,,,,II,
l-arḍiyya,الأرضية,ʔrḍ,"[a] 17 [1579], 20,25 ""the soil"". [b] 17 ""the floor"", of a building (W).",Brockett 1985,16,,50,,,,,,n,,,,,
azli,ازلي,ʔzl,"[a] ""original"". sukkǣn Sūr Ugṭayṭ el-azliyyīn 1 ""the original inhabitants of Sūr Qṭayṭ""; il-mwāṭinīn il-azil 17 ""the original countrymen"". [b]* ""main"", e.g. honey-extraction; type of bee in the hive. dibi azli 29 ""Apis mellifera workers""; il-azli 29 [(§ 4.6 example 5)] ""the worker-bee"".",Brockett 1985,17,,50,,,,,W aṣlī.,adj,,,,,check def ǣ
ustǣd,استاد,ʔstd,"""a master-craftsman"", in leather 9; in iron 15 [(§ 4.5 example 6); in poetry 27.",Brockett 1985,18,,51,,,,,"W ustāḏ ""... teacher ...""; S ustād ""master ... artisan ...""",n,,,,,ā > ǣ
asde 26,اسد,ʔsd,"""slowness"". sawwīh bil-asde 1 ""do it slowly"". = [7]. --- P āste ""gently ... slowly"".",Brockett 1985,19,,51,,,,,,n,,,,,
esem,اسم,ʔsm,"""a concept"". šwǣwi bedu huwa esem wāḥid 12 ""šwǣwi is a synonym of bedu"".",Brockett 1985,20,,51,,,,,"[1428b]; W ""name ... noun"".",n,,,,,check def ǣ
"aṣīl, pl. iṣāl 17",اصيل,ʔsl,"""of good lineage"".",Brockett 1985,21,,51,,,,,[17]; W pl. uṣalāʔ.,adj,,,,,check lex
"ʔakkad**, yeʔekkid",اكد/ يأكد,ʔkd,"""to be sure of"". yeʔekkid il-makǣn 26 ""[the fisherman] knows [his] position [by the stars]"". A variant of [1725].",Brockett 1985,22,,51,,,,,"W ""... to confirm"".",vt,,,,II,check def ǣ
il,الـ,ʔl,"corresponding to W li. With suffixes beginning with a vowel the l can double. [a] ""to have"". arbʕīn imrīʕi ilhe arbaʕ drūr 1 ""mid-winter has four stages"". [b]* ""to"". bagīb illeh moḫal 30 ""I bring a sieve to it"". [c] object marker 1 [249].",Brockett 1985,23,,51,,,,,[a] [1753].,prep,,,,,
"ila 2,5,26",الى,ʔlʔ,"[(§ 6.2)] ""if"". Often shortened to la 29, lǣ 21 or lā 17 [751]. Sometimes combined with kēn [592]; as is in [1394]. Thus lakēn / lǣkǣn can mean ""but if"" [1080]; ʕale sitt iyyēm tisqāh dor, bass lǣ kǣn kaṯart, ʕale sebeʕ 21 ""give it a watering every six days, but if you give it a lot, every seven"". But more often lakēn etc. mean ""but"" 5 [§ 4.2 example 12]; 11,21.",Brockett 1985,24,,51,,,,,W lākin.,subord conj,,,,,check def ē
illi,اللي,ʔll,"indeclinable relative pronoun [a] 20 [999a] [§ 6.1] corresponding to W allaḏi which is also used in Khābūra, and for both m. and f. [308]. [b] emphasising the noun or pronoun. kēn il-awwal in-nēs fī aʕmēlhum bass illi 16 ""in the old days folk were in their [traditional] occupations and them alone""; bass hiyya illi 12 ""that's all it is""; huwwa lli, ḫšimhe huwwa lli 22 ""it's the same. Her nose, it's the same [as her snout]"".",Brockett 1985,25,,52,,,,,[a] [153a]. [b] [1428a]; [§ 2.4.2 example 13; R 270; EADS 150.,pn,,,,,check def ē
illa,الى,ʔll,"[a] ""except"" (W), [§ 6.14]. [b] ""until"" [§ 4.6 examples 10,46].",Brockett 1985,26,,52,,,,,[b] [29b],conj,,,,,
almēs 13*,الماس,ʔlms,"""a magnet"". ḥadīd al-almēs bayiʕšeg el-ḥadīd el-ʕādi 1 ""magnetic iron will attract ordinary iron"".",Brockett 1985,27,,52,,ā > ē,,,,n,,,,,ā > ē
"ǣlu 11*,14*",الو,ʔlw,"""potatoes"".",Brockett 1985,28,,52,,,,,"P; the original Sanskrit is said to mean an adible arum root, HJ 16.",n,,,,,ā > ǣ
ilayn / layn,الين/ لين,ʔlyn,"[a] spatial ""up to"" 1,12,21 [317]; of a letter ""addressed to"". mislaymēn layn il-mara hǣḏi 17 ""from Solomon to this woman"".",Brockett 1985,29,,52,,,,,[a] [23b] W ilā. [b] [26b]; W ilā an.,prep,,,,,check def ē
"embe / ambe / hembe, usually defined l-embe, pl. -yǣt 3,9,21",امب/ همب,ʔmb,"""a mango fruit/tree"".",Brockett 1985,30,,52,,ʕ > ʔ,,fruit,"P ambā, ambi.",n,,,,,ā > ǣ
āmir 17,امر,ʔmr,"""certainly! at your command!""",Brockett 1985,31,,52,,,,,[321].,part,,,,,ā > ā
imāra 17,امارة,ʔmr,"""bidding"". Mostly in leave-taking formulae, e.g. šayy imāra? 23* ""anything else you wish?"" [363].",Brockett 1985,32,,52,,,,,"[436]; W ""... authority ...""",n,,,,,ā > ā
"umm 2,5,25",ام,ʔmm,"[1554] ""a fruiting or suckering female date-palm or other tree.",Brockett 1985,33,,52,,,,palms,[1b].,n,,,,,
"anyar, pl. anǣyir 3,13*",انير,ʔngr,"""an anchor"" of stone. il-anyar yiṭbaʕ fil-baḥr 26 ""the anchor sinks into the sea"".",Brockett 1985,34,,53,,,,,"[360]; R 126 from English (?); Nautical Kuwaiti anyar, anjar ""a grapnel"", is suggested to have been originally Greek and lanyar a by-form reborrowed from the Persian; L 3013 lanjar ""an anchoring places for ships""; H 751 Persian; S langar.",n,,,,,ā > ǣ
"tʔēnas?**, yitʔēnis?**",تأنس/ يتأنس,ʔns,"""to be well"". mitʔēnse 1 act.pt. ""healthy"", of a well-tended date-palm.",Brockett 1985,35,,53,,ā > ē,,,,vi,,,,VI,ā > ē
"istēnas?**, yistēnis?**",استانس/ يستانس,ʔns,"""to be happy"". mistēnsīn 7* ""are you happy?""",Brockett 1985,36,,53,,ā > ē,,,"R 193; W ""tame""; L 113 + bi ""to be happy with"".",vi,,,,X,ā > ē
ink,انك,ʔnk,"""an inch"". teqrīb ink wāḥid 21 ""about one inch"".",Brockett 1985,37,,53,,,,,English; for inkēn see [1394].,n,,,,,
"wallah innuh 19,23",ولا انو,ʔnn,"""yes and no"", a non-committal answer to a question.",Brockett 1985,38,,53,,,,,,part,,,,,
"īhēb 17 / gihēb 1,11",اهاب/ جهاب,ʔhb,"[870] ""an animal/human skin"".",Brockett 1985,39,,53,,ā > ē,,,W ihāb,n,,,,,ā > ē
"awwal 6,12,17 / il-awwal 8,16",اول/ الاول,ʔwl,"[1577]; [25b] adv. ""at first"" (W); ""formerly, in the old/olden days"". fil-awwal 30 ""firstly"".",Brockett 1985,40,,53,,,,,,adv,,,,,
awwali,اولي,ʔwl,"""previous, former"" 2,27; ""of old"" 17 [222].",Brockett 1985,41,,53,,,,,"W ""... primordial, original ...""",adj,,,,,
"ayš 6,7,17",ايش,ʔyš,"interrogative/relative pronoun [1464] ""what?/what"".",Brockett 1985,42,,53,,,,,[1445]; [1494]; [1653]; [1746].,interr,,,,,
"āyl 7,9,11",ايل,ʔyl,"""engine-oil"".",Brockett 1985,43,,53,,,,,English.,n,,,,,-
byē,بيا؟,b,"""with"", humans 12 [842a], 22; animals etc. byē ṯ-ṯor 12 ""with the bull""; iḏa kēn byē šaʕīr ... 9 ""if [lucerne is sown] with barley ..."" 29 used byol- (not mentioned by R), e.g. byolne ""with us"", and ṭāḥ kill id-dibi byoloh ""all the bees fell with him (the šayḫ, i.e. the queen)"". bi is of course also used, e.g. il-yom bilayleh 17* ""twenty-four hours"".",Brockett 1985,44,,54,,,,,W bi; wa-iyyā.,prep,,,,,check lex ē
"batre 11*,16",بترا,btr,"""a car-battery"".",Brockett 1985,45,,54,,,,,[286]; [824]; English.,n,,,,,
"bitk 4,12",بتك,btk,"""a large-headed hammer"".",Brockett 1985,46,,54,,,,,"R 400; S putk ""a smith's hammer"".",n,,,,,
"bigli 13*,16*,29",بجلي,bgly,"""a hand-torch"".",Brockett 1985,47,,54,,,,,"Ḥarsūsi bōgeli; P ""lightning ...""",n,,,,,
"baḥaṯ, yibḥaṯ",بحث/ يبحث,bḥṯ,"""to dig"". awwal yibḥaṯ iṭ-ṭwā bidūn ... 17 ""[the Omani] used to dig wells without [metal tools]"".",Brockett 1985,48,,54,,,,,"[49]; [51]; Ḥarsūsi beḥāṯ ""to make a hole in the ground""; W ""... to search ... explore ...""; L 155 ""... to search for something in the earth ...""",vt,,,,I,
"baḥaš, yibḥaš 8,17",بحش/ يبحش,bḥš,"""to dig"". yibeḥšeh 6 ""he digs it"".",Brockett 1985,49,,54,,,,,[48]; [§ 2.4.6 example 31]; H.,vt,,,,I,
"baḥaṣ, yibḥaṣ, il-baḥāṣ 7*",بحص/ يبحص/ البحاص,bḥṣ,"""to sweep"". buḥṣ il-bayt bil-ʕaṣu 1 ""sweep the house with the dry palm-raceme!""",Brockett 1985,50,,54,,,,,[456]; [1470a].,vt,,,,I,check lex
"bḥīṣa, pl. bḥāyiṣ 4,12,16",بحيصة,bḥṣ,"""a sweet water-well in a wadi-bed near the sea"" often very shallow.",Brockett 1985,51,,54,,ṯ > ṣ?,,,"[§ 2.4.6 example 39]; Wilkinson 53 says that baḥaṯ, pl. buḥūṯ / baḥāyiṯ is a bedu term for seasonal wells further down wadi-courses.",n,,,,,check lex
"baḫḫār 11*,13*",بخار,bḫr,"""a store"".",Brockett 1985,52,,54,,,,,"Jb 877 ""warehouse"" from Hindi; P buḫārī ""... granary"".",n,,,,,ā > ā
"baḫas, yibḫas 17",بخس/ يبخس,bḫs,"""to understand"". [Not known by 7, so probably an inland word.]",Brockett 1985,53,,55,,,,,,vt,,,,I,
"bidd, ybidd 9",بد/ يبد,bdd,"""to begin"". min biddet ḥawēli ʕišrīn sene 24 ""since about twenty years"".",Brockett 1985,54,,55,,,,,"[61]; W badaʔa. Stem VIII (e.g. yebtedi 1,11) tallies with W.",vi,,,,I,check def ē
"tebeddar**, yitbeddar**",تبدر/ يتبدر,bdr,"""to be a hired date-palm-worker"". awwal mitbeddar 12 ""I used to be a bīdār"".",Brockett 1985,55,,55,,,,,[165].,vi,,,,V,
"mebdaʕ 1,12,29",مبدع,bdʕ,"""a basket"" about 2ft. across woven from palm-leaves or ġaḍaf [1179]. Also called mizmǣ [687].",Brockett 1985,56,,55,,,,,[205]; [657]; [1089]; [1311].,n,,,,,check def ǣ
"it-tebdīl 2,9,11",اتبديل,bdl,"""the stage of seedling-lucerne"" when the first true leaf appears after the cotyledon-leaves.",Brockett 1985,57,,55,,,,,"W ""change ...""",n,,,,II,
"bedle 1,7*,18*",بدل,bdl,"""a nose-ring"" for a girl/woman, passing through the outside of one nostril.",Brockett 1985,58,,55,,,,,"[137]; R 388 ""nose-pin"".",n,,,,,
"bdēn, pl. -ēt 12,17",بدان,bdn,"""gāzra-rope/s"", attached to the wayg and mʕalqa.",Brockett 1985,59,,55,,,,,"[1359]; L 2601 bidānān ""camel-saddle fasteners"".",n,,,,,check lex ē
il-bidwān 16,البدوان,bdw,"""the bedu"" (pl.)",Brockett 1985,60,,55,,,,,R 73.,n,,,,,check lex
bedwa 10,بدوة,bdw,"""a beginning"", e.g. of a job.",Brockett 1985,61,,55,,,,,[54]; R 9; W badʔa; L 171 badw.,n,,,,,
"bidi, pl. bidē 4,11,12",بد,bdy,"""a house-well"", drawn by hand.",Brockett 1985,62,,55,,,,,"[1046a]; L 164 badīʔ ""a well newly dug"".",n,,,,,check lex ē
"beḏḏar**, ybeḏḏer",بذر/ يبذر,bḏr,"[a] vi ""to form seeds"". il-waqt hēḏe ybeḏḏer 21 ""at this time [of the year, lucerne] forms seeds"". [b] vt 7*,11* ""to serve the female"", of a goat. = [1509].",Brockett 1985,63,,56,,,,,"[b] L 173 ""to sow seed ...""",v,,,,II,check def ē
"beḏer, pl. abḏār 17 / bḏūrāt",بذر,bḏr,"""a weed"". bḏūrāt māl il-ḥagar 20 ""mountain-seeds"".",Brockett 1985,64,,56,,,,,"W pl. buḏūr, biḏār.",n,,,,,check lex
"biḏḏār 17,20",بذار,bḏr,"specifically ""onion-seedlings"" before being planted out.",Brockett 1985,65,,56,,,,,[650b[; [1326]; [1475].,n,,,,,check lex
"bara, yibri",برى/ يبري,bri,"[a] vi ""to recover"". mā bara 1 ""it didn't heal"". [b] vt ""to pierce"", denominative from [67]. bass nnuwwaḫah ʕale n-nāqa yibri waḥduh 23 ""[a male camel does not need help] we just let him mount the female and he penetrates by himself"" (contrary to W. Thesiger, Arabian Sands, Penguin 1977, p.137).",Brockett 1985,66,,56,,,,,"[a] W bariʔa a; L 178 also baraʔa. [b] W abara ""to prick, sting"", II ""to pollinate [a palm-tree]"".",v,,,,I,
"bura 13*,21*",برة,bri,"""a needle; injection"". ḍarabha bura 23 ""he gave her an injection"".",Brockett 1985,67,,56,,,,,R 38 bra; W ibra.,n,,,,,
"barābur 8*,26*",برابر,brbr,"""correct, just right"".",Brockett 1985,68,,56,,,,,Jb 835 Persian; S.,adv,,,,,check lex
"burbuq, yburbuq 20*",بربق/ يبربق,brbq,"""to bubble"", of a mountain spring.",Brockett 1985,69,,56,,,,,"W barbaṭa ""to splash ...""",vi,,,,I,
burbūqi,برباقي,brbq,"""bubbling"". ʕayn burbūqi 20* ""a bubbling spring"".",Brockett 1985,70,,56,,,,,,adj,,,,,
"baraḥ, yibraḥ, il-barāḥa 7*,25",برح/ يبراح/ البراحة,brḥ,"""to become tidy; be clean"". ḥette yibraḥ el-bayt bin-naẓāfe, ḥette yibarraḥ el-bayt. 1 ""[sweep the house] so it's tidy and clean, so it gets tidied"".",Brockett 1985,71,,56,,,,,"L 181 ""to become apparent (of sth. concealed)"".",vt,,,,I,check lex
"tbarraḥ**, yitbarraḥ** 1,25",تبرح، يتبرح,brḥ,"""to be cleaned; get tidied"", e.g. of a place or a date-palm-cutting.",Brockett 1985,72,,56,,,,,,vi,,,,V,
"il-bārḥa 17*,19*,30*",البرحة,brḥ,"""yesterday evening"".",Brockett 1985,73,,56,,,,,"R 114; W ""yesterday"".",adv,,,,,check lex
"barḫ 7*,11*",برخ,brḫ,"""free of charge"".",Brockett 1985,74,,57,,,,,[135]; Jb 842.,adv,,,,,
"bird, pl. brūd 4,12",برد,brd,"""a wall"" of a well-pump-housing.",Brockett 1985,75,,57,,,,,"cf. Nautical Kuwaiti burd ""the side or 'borad' of a ship"", for which a derivation from Portuguese bordo is given; S parda ""... curtain ... walls of a tent ...""",n,,,,,
"bārid 13*,14*,22",بارد,brd,"""a refrigerated drink"", e.g. Pepsi.",Brockett 1985,76,,57,,,,,,n,,,,,check lex
"barḏūl, pl. brāḏīl 7*,11*,19*",برذول,brḏl,"""lazy"".",Brockett 1985,77,,57,,,,,"R 11; W birḏayn ""... a jade ...""",adj,,,,,check lex
"il-barr 17,23",البر,brr,"[§ 4.4 example 4] ""never, not at all"". il-barr il-barr batāten 2 ""absolutely never""; mā tšūf il-bārra 30 ""you never see [it]"", a Šarqiyya variant.",Brockett 1985,78,,57,,,,,"barran ""... outside"".",n,,,,,
"barrāra 17*,29*",برارة,brr,"""a friction-blister"".",Brockett 1985,79,,57,,,,,[1477].,n,,,,,check lex
"baraz, yibriz 1*,13*,17*",برز/ يبرز,brz,"""to be ready"".",Brockett 1985,80,,57,,,,,"[690]; W ""... to appear ...""",vi,,,,I,
"barza, pl. -āt 7*,11*",برزة,brz,"""a covered reception-area/room of a castle"".",Brockett 1985,81,,57,,,,,"[711]; Jb 829 ""a durbar""; R 41 ""an audience"".",n,,,,,check lex
barāz 17,براز,brz,"""empty land"", without trees or buildings.",Brockett 1985,82,,57,,,,,L 187.,n,,,,,check lex
il-barīza 23,البريزة,brz,"""the tree around which šwǣwi camp"".",Brockett 1985,83,,57,,,,,Wilkinson 206.,n,,,,,check def ǣ
"mabraz 7*,11*",مبرز,brz,= [81].,Brockett 1985,84,,57,,,,,,n,,,,,
"barasti 7*,12,14",برستي,brst,"""a [traditional] house and courtyard"", built from dʕūn [506].",Brockett 1985,85,,57,,,,,[462]; [1431].,n,,,,,
"bursim, pl. brāsim 11*,13*,22",برسيم,brsm,"""an animal's hoof"", except a camel's which is ḫuff W.",Brockett 1985,86,,57,,ṯ > s,,,"W burṯun ""claw ...""",n,,,,,ā > ā
"barrāḍ barrāḍ 1,19*,30*",براض براض,brḍ,"""slow/quieten down!"" similar to šwayy šwayy.",Brockett 1985,87,,57,,,,,"[1012]; H baraḍ ""small quantity"".",part,,,,,ā > ā
"burṭum, pl. brāṭim 7*,11*,13*",برطم,brṭm,"""an upper lip of an animal"" as far as the nostrils.",Brockett 1985,88,,58,,,,,"W burṭūm ""trunk of an elephant"".",n,,,,,ā > ā
"barraʕ 1,9,12",برع,brʕ,[1042c] barra (W) is also current in Khābūra.,Brockett 1985,89,,58,,,,,,adj/adv,,,,,
"barġaš 12,17*",برغش,brġš,"""an old copper baysa-coin"". According to 17, named after a ruler of Zanzibar.",Brockett 1985,90,,58,,,,,"W barġaš ""gnats"" and barāġīṯ ""fleas; small silver coins"".",n,,,,,
"barġal, ybarġal, it-tbarġīl 1",برغل/ يبرغل/ اتبرغيل,brġl,"""to harrow"". tbarġaleh bil-ʕaṣu 3 ""you harrow it with the dry palm-raceme""; nbarġáluh bil-īdayn 21,25 ""we harrow it (lucerne-seed) with [our] hands"".",Brockett 1985,91,,58,,H'LL,,,"[1470b]; W ġarbala ""... to sift, riddle"".",vt,,,,I,
"barġām, pl. brāġīm 1",برغام,brġm,"""a horn"", blown by mouth.",Brockett 1985,92,,58,,,,,"[650a]; R 55; Jb 823 barġūm ""bugle"".",n,,,,,ā > ā
barġūm 1,برغام,brġm,"""a long-necked sea-bird"" found at Khābūra.",Brockett 1985,93,,58,,,,,,n,,,,,
baraf* 26,برف,brf,"""ice"".",Brockett 1985,94,,58,,,,,"R 41; W barad ""hail""; Swahili barafu. [Brockett fails to notice that this is an Iranian borrowing.]",n,,,,,
"abbārkallah 2,6,17",اباركله,brk,"""God bless [you]"". Often said to someone who has said something that shows understanding.",Brockett 1985,95,,58,,,,,W bāraka.,part,,,,III,ā > ā
barīk 1 / brīk,بريك,brk,"""abundant"". duḫān kaṯīr, brīk 29 ""an enormous amount of smoke"".",Brockett 1985,96,,58,,,,,"L 194 ""blessed"".",adj,,,,,
"abrāk 2,6,16",ابراك,brk,"""Divine favour(s)"". An often heard comment is that nowadays there is plenty of money, but no abrāk.",Brockett 1985,97,,58,,,,,,n,,,,,ā > ā
mbarke 12,مبركه,brk,= [97].,Brockett 1985,98,,58,,,,,,n,,,,,
"baram 23,25,29",برم,brm,"""flowers of the Semr-tree"".",Brockett 1985,99,,59,,,,,[1286]; L 195 fruit of various acacias.,n,,,,,
"barnūṣ 11,17,25",برناص,brnṣ,"""a large blanket"".",Brockett 1985,100,,59,,,,,"[1383]; W barnūs ""hooded cloak"".",n,,,,,
"barwa, pl. brāwi 1*,11,17*",بروة,brw,"""a letter to the qāḍi or wāli"" stating a legal complaint.",Brockett 1985,101,,59,,,,,"R 57 ""letter""; Jb 826 ""(money) cheque""; S parwāna ""official written document, e.g. warrant, passport, written precept ...""",n,,,,,ā > ā
"bisr / bisur 1,9,17",بسر,bsr,"""dates"" in the third of the five stages of ripening. bisra one.",Brockett 1985,102,,59,,,,fruit; palms,"[280]; W busr ""unripe dates"".",n,,,,,
"bass 2,11,12",بس,bss,"[§ 4.6 example 1] ""but; enough"".",Brockett 1985,103,,59,,,,,"Jb 835 Persian; L 201 I ""to break ...""; H Syrian; S bas.",conj/adv,,,,,
"baššar, ybaššir / ybeššir",بشر/ يبشر,bšr,"[a] vt of people, ""to give someone a present"" on hearing good news. As you do so, you say ana baššartik, zāyid mʕak ḫayr 17 ""here's a gift for you, may things get even better for you""; tbaššir l-awlǣd 11 ""you give your first bisr [sic] to [your] sons"" (a combination of meanings [a] and [b]). [b] vi of certain plants, e.g. the vine, mango, guava, bīḏām and date-palm, to ""bear first-fruits"" in summer. awwal baybeššir il-ʕuneb 5 ""[in summer] the vine will be the first to start fruiting"". The verbal nouns tebšūra 1,11 ... and tibǣšīr 1,3 ... (W ""... first signs ..."") can refer to any such plant, whereas tibiššera 17,25 appears to be restricted to date-palms. it-tibǣšīr ykūn yaʕni ybeššir il-ešgār 1 ""[the time of] tibǣšīr is when trees bear their first-fruits""; but, ybeššir in-naḫīl bit-tibiššera 1 ""date-palms bear their first-fruits at tibiššera-time"". Hence tibiššera is the name of ""the season when the first dates ripen"", whether to the bisr stage according to 1, or to the rṭab stage according to 5. ysemma tibiššera ʕale š-šēn inne n-naḫīl yibeššerin 5 ""it's called tibiššera because the date-palms bear their first-fruits [then]"".",Brockett 1985,104,,59,,,,,"W ""... to bring good news to so. ...""",v,,,,II,check def ē
bešṭ 7,بشط,bšṭ,"""a scar on a man's back"" from branding""",Brockett 1985,105,,60,,,,,"S pušt ""the back"".",n,,,,,
"biškār 19*,30*",بشكار,bškr,"""a room-servant"".",Brockett 1985,106,,60,,,,,"Jb 865 Persian; S 221 ""unremunerated labour"".",n,,,,,ā > ā
"bašmi 11*,13*,19*",بشمي,bšm,"""enterotoxaemia"".",Brockett 1985,107,,60,,,,diseases,"W bašam ""surfeit ...""",n,,,,,
bāṣir 12,باصر,bṣr,"""a literate man"" consulted when someone falls ill, or is born, etc.",Brockett 1985,108,,60,,,,,"[1038]; Wilkinson 120 ""a water-diviner""; L 211 ""... knowing, skilful ...""",n,,,,,ā > ā
"baṣīr, biṣrā 12",بصير/ بصره,bṣr,"""a brother-in-law"".",Brockett 1985,109,,60,,,,family,[867a].,n,,,,,check lex
buṣra 12,بصرة,bṣr,"""insight, discernment"", e.g. of water-diviners.",Brockett 1985,110,,60,,,,,[315]; W baṣāra.,n,,,,,
"baṣṣ, ybuṣṣ 17",بص/ يبص,bṣṣ,"=+ ʕale ""to spy on"" someone. = [1025].",Brockett 1985,111,,60,,,,,"W ""to look"" (Egyptian).",vi,,,,I,
"tbaṣṣaṣ**, yitbaṣṣaṣ 12",تبصص، يتبصص,bṣṣ,"""to be sprawled out"". hāyše marīḍa mitbaṣṣaṣa 22* ""a sick she-goat lying flat-out"".",Brockett 1985,112,,60,,,,,[1478].,vi,,,,V,
"baṭḥā 16,23",بطحه,bṭḥ,"""a wide wadi-bed; [the] mouth of the Wadi al-Ḥawāsina"".",Brockett 1985,113,,60,,,,,"W ""basin-shaped valley ...""; L.",n,,,,,ā > ā
"biṭṭīḫ 3,13*,19*",بطيخ,bṭḥ,"""a large cantaloup-melon"".",Brockett 1985,114,,60,,,,fruit,"[216]; R 49 and W ""water-melon"".",n,,,,,
"baṭṭal**, ybaṭṭil** 2*,11*,17*",بطل/ يبطل,bṭl,"""to open, start"", e.g. a machine.",Brockett 1985,115,,60,,,,,[142]; [1241]; [1504].,v,,,,II,
"tbaṭṭal**, yitbaṭṭal** 1,9,25",تبطل/ يتبطل,bṭn,= [115].,Brockett 1985,116,,61,,,,,,vi,,,,V,
ibṭān / ibṭāniyye 1,ابطان/ ابطانية,bʕd,"""woollen underclothing"".",Brockett 1985,117,,61,,,,,"W biṭāna ""... lining (of a garment) ...""",n,,,,,ā > ā
